     Nodes                Values
V_U1.D24[U1.19,                 595.54mV
V_U1.D27[U1.12,                   -1.73V
V_U1.D28[U1.16,                   -3.27V
V_U1.D31[U1.58,                 -763.05V
V_U1.D32[U1.56,                 648.43mV
V_U1.D51[U1.61,                  655.1mV
V_U1.D54[U1.75,                   -4.97V
V_U1.D55[0,U1.7                 -25.63mV
V_U1.D56[U1.76,                 595.54mV
V_U1.D57[U1.77,                 595.54mV
V_U1.D58[U1.78,                 714.65mV
V_U1.D59[U1.79,                 714.65mV
V_U1.D60[U1.70,                 567.08mV
V_U1.D61[U1.64,                   -5.57V
V_U1.D62[U1.96,                 172.09mV
V_U1.D63[U1.109                 129.12mV
V_U1.D64[U1.121                  -3.04kV
V_U1.D65[U1.119                 684.07mV
V_U1.D67[U1.125                  655.1mV
V_U1.D68[U1.131                 587.36mV
V_U1.D69[U1.128                   -47.2V
V_U1.I24[0,U1.1                -595.54mV
V_U1.I25[0,U1.1                -595.54mV
V_U1.I35[0,U1.6                 -655.1mV
V_U1.I36[0,U1.7                -595.54mV
V_U1.I37[0,U1.7                -595.54mV
V_U1.I38[0,U1.7                -714.65mV
V_U1.I39[0,U1.7                -714.65mV
V_U1.I41[1,0]                         5V
V_U1.I49[U1.99,                    2.98V
V_U1.I50[U1.112                    4.09V
V_U1.I51[U1.51,                    4.23V
V_U1.I52[U1.39,                    3.58V
V_U1.I53[U1.80,                  20.43mV
V_U1.I54[0,U1.1                 -655.1mV
V_U1.I55[U1.20,                   1.15uV
V_U1.L2[U1.75,V                       0V
V_U1.R100[U1.16                 -93.19mV
V_U1.R105[U1.9,                -220.09uV
V_U1.R106[U1.35                -670.87uV
V_U1.R108[U1.54                       0V
V_U1.R110[U1.55                  763.05V
V_U1.R111[U1.57                -648.43mV
V_U1.R112[U1.58                -706.43mV
V_U1.R113[U1.16                   -1.49V
V_U1.R114[U1.56                -365.45mV
V_U1.R115[U1.57                   -1.01V
V_U1.R116[U1.34                   -1.79V
V_U1.R117[U1.34                 -764.84V
V_U1.R122[0,U1.                       0V
V_U1.R139[0,U1.                   -5.1mV
V_U1.R140[0,U1.                 -655.1mV
V_U1.R141[U1.49                 -69.58nV
V_U1.R142[U1.44                  67.87nV
V_U1.R150[U1.63                   3.96nV
V_U1.R151[U1.66                 794.32pV
V_U1.R152[U1.68                  -3.16mV
V_U1.R153[0,U1.                  -3.26mV
V_U1.R155[U1.70                       0V
V_U1.R156[U1.72                     -4mV
V_U1.R157[U1.64                     -4mV
V_U1.R158[0,1]                       -5V
V_U1.R160[U1.82                       5V
V_U1.R161[U1.83                       0V
V_U1.R162[U1.84                   3.22mV
V_U1.R163[0,U1.                -499.95uV
V_U1.R164[0,U1.                       0V
V_U1.R165[0,U1.                -321.52nV
V_U1.R166[U1.91                  17.22mV
V_U1.R167[U1.85                  17.22mV
V_U1.R168[U1.10                -923.62nV
V_U1.R169[U1.10                   4.13uV
V_U1.R170[U1.94                   -3.07V
V_U1.R171[U1.64                   -447mV
V_U1.R172[U1.64                -272.99mV
V_U1.R173[U1.11                -394.99uV
V_U1.R174[U1.95                  -6.51mV
V_U1.R175[U1.11                  -1.74uV
V_U1.R176[U1.11                   3.04kV
V_U1.R177[U1.12                -684.07mV
V_U1.R178[U1.12                -926.53mV
V_U1.R179[U1.64                   -4.13V
V_U1.R180[U1.11                    2.32V
V_U1.R181[U1.12                    1.63V
V_U1.R182[U1.94                   -1.57V
V_U1.R183[U1.94                  -3.04kV
V_U1.R184[U1.93                -149.99uV
V_U1.R185[U1.89                       0V
V_U1.R186[U1.90                  -9.65nV
V_U1.R187[4,U1.                3.47E-18V
V_U1.R188[U1.94                 174.01mV
V_U1.R189[U1.10                -926.53mV
V_U1.R190[U1.64                   -4.13V
V_U1.R191[U1.85                   3.22mV
V_U1.R200[U1.75                       0V
V_U1.R204[U1.99                -955.31mV
V_U1.R205[U1.64                   -1.07V
V_U1.R206[U1.69                   -4.13V
V_U1.R207[U1.68                 923.37mV
V_U1.R209[U1.11                       0V
V_U1.R226[U1.10                 329.26pV
V_U1.R227[U1.10                 343.03pV
V_U1.R314[U1.11                -907.85mV
V_U1.R316[U1.9,                  -1.09uV
V_U1.R318[U1.12                  -9.66uV
V_U1.R320[4,U1.                  -1.07uV
V_U1.R325[U1.20                 152.98nV
V_U1.R326[U1.32                 -999.9nV
V_U1.R327[U1.29                       0V
V_U1.R328[0,U1.                -971.04pV
V_U1.R329[0,U1.                   44.9mV
V_U1.R330[0,U1.                  -25.64V
V_U1.R331[U1.12                  47.21nV
V_U1.R332[0,U1.                  -72.84V
V_U1.R333[U1.13                 -72.88mV
V_U1.R334[0,U1.                 -39.76mV
V_U1.R335[0,U1.                 -59.64mV
V_U1.R338[U1.39                -712.27mV
